lane,log10_acid_activity,log10_base_activity,auxiliary_0,auxiliary_1,maximum_normalized_violation
142,-2.8856358528137207,-2.685635566711426,0.0,-1.2227384278977666e-38,2.0019753042674663e-07
143,-2.766239881515503,-2.566239595413208,0.0,-0.0,2.0019753042674663e-07
144,-2.7849607467651367,-2.584960699081421,0.0,-0.0,3.161013638317052e-08
145,-2.8096225261688232,-2.6096224784851074,0.0,-1.208337143450054e-38,3.161013638317052e-08
146,-2.7628588676452637,-2.5628585815429688,0.0,-0.0,2.0019753042674663e-07
147,-2.854710578918457,-2.654710292816162,0.0,-0.0,2.0019753042674663e-07
148,-2.8659451007843018,-2.665945053100586,1.2966426286465645e-38,-0.0,3.161013638317052e-08
149,-2.7408275604248047,-2.5408272743225098,1.393509486940714e-38,-0.0,2.0019753042674663e-07
150,-2.8693952560424805,-2.6693949699401855,0.0,-0.0,2.0019753042674663e-07
151,-2.807727098464966,-2.607726812362671,1.4746718532153288e-38,-0.0,2.0019753042674663e-07
152,-2.900824546813965,-2.700824499130249,0.0,-0.0,3.161013638317052e-08
153,-2.774392604827881,-2.574392318725586,1.468227001318206e-38,-1.5513450197296326e-38,2.0019753042674663e-07
154,-2.779510736465454,-2.5795106887817383,0.0,-1.4493503899649794e-38,3.161013638317052e-08
155,-2.835179090499878,-2.635178804397583,1.6438707955111503e-38,-1.4220020886158305e-38,2.0019753042674663e-07
156,-2.790834426879883,-2.590834140777588,1.2860982780920596e-38,-1.435255008972029e-38,2.0019753042674663e-07
157,-2.847644329071045,-2.64764404296875,0.0,-0.0,2.0019753042674663e-07
158,-2.89536452293396,-2.695364475250244,1.4313182010663548e-38,-0.0,3.161013638317052e-08
159,-2.8369240760803223,-2.6369240283966064,1.178408350978851e-38,-1.8008350009149517e-38,3.161013638317052e-08
160,-2.8876993656158447,-2.68769907951355,1.4634258725197364e-38,-0.0,2.0019753042674663e-07
161,-2.8994925022125244,-2.6994924545288086,1.494016778515333e-38,-1.591856838592956e-38,3.161013638317052e-08
162,-2.776806592941284,-2.5768065452575684,0.0,-0.0,3.161013638317052e-08
163,-2.8520092964172363,-2.6520090103149414,0.0,-1.3725009401038635e-38,2.0019753042674663e-07
164,-2.79276704788208,-2.592766761779785,1.6773196497247372e-38,-0.0,2.0019753042674663e-07
165,-2.7670626640319824,-2.5670626163482666,0.0,-0.0,3.161013638317052e-08
166,-2.6642024517059326,-2.464202404022217,1.5874710546593122e-38,-0.0,3.161013638317052e-08
167,-2.8018991947174072,-2.6018989086151123,0.0,-1.7144438295505553e-38,2.0019753042674663e-07
168,-2.7182393074035645,-2.5182390213012695,0.0,-0.0,2.0019753042674663e-07
169,-2.7525792121887207,-2.552578926086426,1.6575558763137464e-38,-1.7490755197978788e-38,2.0019753042674663e-07
170,-2.762629747390747,-2.562629461288452,0.0,-0.0,2.0019753042674663e-07
171,-2.705813407897949,-2.5058131217956543,1.198765153899944e-38,-1.7159874999388555e-38,2.0019753042674663e-07
172,-2.8192765712738037,-2.619276523590088,1.3055844542772676e-38,-0.0,3.161013638317052e-08
173,-2.8324410915374756,-2.6324408054351807,1.207817121589943e-38,-1.2245402174631954e-38,2.0019753042674663e-07
174,-2.745957136154175,-2.54595685005188,1.6608674248446388e-38,-0.0,2.0019753042674663e-07
