lane,state_pool,operator_pool,scratch_pool,staging_pool,maximum_normalized_violation
201,3.914217233657837,3.0594451427459717,1.9225329160690308,1.103804111480713,0.0
202,3.9634997844696045,3.0171704292297363,1.9422249794006348,1.077104926109314,5.960464477539063e-08
203,3.736712694168091,3.0893118381500244,2.0731725692749023,1.100803256034851,1.7881393432617188e-07
204,3.948439836502075,3.0602521896362305,1.955269455909729,1.0360382795333862,0.0
205,3.9432499408721924,2.986565589904785,2.0701849460601807,1.0,2.384185791015625e-07
206,3.979651927947998,3.0223941802978516,1.9979538917541504,1.0,0.0
207,4.137847423553467,3.0795516967773438,1.782600998878479,1.0,5.960464477539063e-08
208,3.9998111724853516,2.869847297668457,2.1303415298461914,1.0,0.0
209,3.9559338092803955,3.027507781982422,2.0165581703186035,1.0,0.0
210,4.224371910095215,2.8922362327575684,1.8833919763565063,1.0,5.960464477539063e-08
211,3.993967294692993,3.085115671157837,1.8976480960845947,1.0232689380645752,0.0
212,3.9561705589294434,3.0119407176971436,2.026785373687744,1.0051027536392212,0.0
213,4.0667643547058105,3.0704500675201416,1.862785816192627,1.0,1.1920928955078125e-07
214,3.9137728214263916,2.9732656478881836,1.9087646007537842,1.2041966915130615,0.0
215,3.9525136947631836,3.1478829383850098,1.8996034860610962,1.0,5.960464477539063e-08
216,3.8287272453308105,2.9579758644104004,2.0247275829315186,1.1885687112808228,0.0
217,4.014771938323975,3.136411666870117,1.8488163948059082,1.0,0.0
218,4.000426292419434,2.965101480484009,1.923929214477539,1.1105434894561768,2.384185791015625e-07
219,3.8994364738464355,3.0482888221740723,2.0522751808166504,1.0,2.384185791015625e-07
220,4.1246867179870605,2.9988534450531006,1.8764601945877075,1.0,1.7881393432617188e-07
221,3.970024585723877,3.043684720993042,1.9779255390167236,1.0083658695220947,3.5762786865234375e-07
222,4.008569240570068,2.839589834213257,2.151841640472412,1.0,3.5762786865234375e-07
223,3.9965503215789795,3.0668234825134277,1.8737094402313232,1.06291663646698,0.0
224,4.0474395751953125,3.06278920173645,1.8897716999053955,1.0,2.384185791015625e-07
225,4.05469274520874,2.8856191635131836,2.0431551933288574,1.0165324211120605,0.0
226,3.8659591674804688,2.9729514122009277,2.08017635345459,1.0809133052825928,1.1920928955078125e-07
227,3.96767258644104,2.9274444580078125,2.0071985721588135,1.0976850986480713,3.5762786865234375e-07
228,3.8035800457000732,3.13716721534729,2.059253215789795,1.0,2.384185791015625e-07
229,3.9675443172454834,3.0275814533233643,1.8768924474716187,1.127982258796692,2.384185791015625e-07
230,3.882138729095459,3.060969829559326,1.9375460147857666,1.119346022605896,2.980232238769531e-07
231,3.948995590209961,3.0980100631713867,1.8424394130706787,1.1105549335479736,0.0
232,4.110292434692383,2.820901393890381,2.0688064098358154,1.0,1.1920928955078125e-07
233,4.123434066772461,2.871738910675049,2.0048274993896484,1.0,2.384185791015625e-07
234,3.8703503608703613,3.1112797260284424,1.9618600606918335,1.0565096139907837,0.0
235,3.9761648178100586,2.911837577819824,2.0230469703674316,1.088950753211975,5.960464477539063e-08
236,3.9708356857299805,2.908665895462036,2.1204986572265625,1.0,1.1920928955078125e-07
237,4.142403602600098,2.77554988861084,1.9995007514953613,1.0825456380844116,0.0
238,3.8690826892852783,2.8774163722991943,2.0904061794281006,1.163094401359558,0.0
239,3.9421377182006836,2.990004777908325,2.067857265472412,1.0,0.0
240,3.872417688369751,2.9454495906829834,2.151768684387207,1.0303645133972168,2.384185791015625e-07
241,3.9551215171813965,2.971097469329834,2.0737814903259277,1.0,2.384185791015625e-07
242,4.012977123260498,2.956796646118164,1.950449824333191,1.079776644706726,1.1920928955078125e-07
243,3.9957218170166016,2.815258264541626,2.044713258743286,1.144307255744934,2.980232238769531e-07
244,4.071141719818115,2.855818271636963,2.073040246963501,1.0,1.1920928955078125e-07
245,3.8834152221679688,3.0822529792785645,1.9403952360153198,1.093936800956726,1.1920928955078125e-07
246,4.1112260818481445,2.7729811668395996,2.063358783721924,1.0524334907531738,0.0
247,3.916200637817383,3.0142557621002197,2.0695443153381348,1.0,3.5762786865234375e-07
248,4.021319389343262,2.9932494163513184,1.985431432723999,1.0,1.1920928955078125e-07
249,4.103022575378418,2.998826503753662,1.89815092086792,1.0,0.0
250,3.9874637126922607,3.053342342376709,1.9591940641403198,1.0,5.960464477539063e-08
251,4.001403331756592,3.0562448501586914,1.9423518180847168,1.0,0.0
252,3.961143732070923,3.0275070667266846,1.9645990133285522,1.0467501878738403,0.0
253,3.9799628257751465,3.095426321029663,1.7909035682678223,1.133707046508789,0.0
254,4.033525466918945,2.899547815322876,2.066927194595337,1.0,2.384185791015625e-07
255,3.968879461288452,3.0046582221984863,2.0264627933502197,1.0,2.384185791015625e-07
256,3.9617719650268555,2.9928810596466064,2.045346975326538,1.0,0.0
